Energy,CO,NO2,PM10,PM25,SO2,O3,Temperatura (C),Prędkość wiatru (km/h),Zachmurzenie (%),Ciśnienie (hPa),Opady (mm),Śnieg (cm)
5.69,0.29,21.05,9.6,6.9,2.4,50.2,17.9,18.7,100.0,1004.5,0.0,0.0
10.02,0.27,13.15,8.600000000000001,6.7,3.1,63.2,18.8,15.8,100.0,1004.3,0.0,0.0
14.9,0.28,12.3,9.85,6.4,3.6,67.9,19.4,12.6,99.0,1004.1,0.0,0.0
14.4,0.27,13.4,9.3,6.4,4.7,68.4,19.3,13.3,79.0,1004.1,0.0,0.0
13.42,0.26,8.75,9.75,7.1,4.1,67.6,18.1,16.2,100.0,1004.1,0.0,0.0
4.19,0.29,11.15,9.7,7.5,2.6,62.6,18.4,14.8,74.0,1003.7,0.0,0.0
4.37000000001,0.31,11.85,9.45,7.8,2.0,58.6,17.5,20.2,96.0,1004.0,0.0,0.0
2.96999999999,0.29,10.55,9.7,8.8,1.3,59.9,17.0,22.7,43.0,1003.9,0.0,0.0
1.55,0.28,11.35,11.25,10.0,1.1,55.7,15.6,22.3,3.0,1004.0,0.0,0.0
0.28,0.27,10.35,11.35,10.6,0.7,54.0,14.7,17.3,2.0,1003.9,0.0,0.0
0.0,0.32,12.95,12.55,11.4,0.6,49.1,14.4,17.3,9.0,1003.9,0.0,0.0
0.0,0.34,13.35,10.0,11.0,0.4,42.9,14.6,16.2,99.0,1003.7,0.0,0.0
0.0,0.29,11.8,11.4,11.8,0.6,44.3,14.6,16.2,50.0,1003.6,0.0,0.0
0.0,0.3,10.0,11.65,13.6,0.6,45.3,14.5,15.8,86.0,1003.3,0.0,0.0
0.0,0.28,9.05,9.8,12.0,0.8,45.5,14.3,15.5,40.0,1003.1,0.0,0.0
0.0,0.25,6.4,6.9,8.3,0.6,44.6,14.2,15.1,91.0,1002.5,0.0,0.0
0.0,0.22,4.8,8.0,9.0,0.5,48.8,14.8,15.5,0.0,1001.6,0.0,0.0
0.0,0.17,3.05,9.55,9.6,0.6,50.1,14.7,15.1,15.0,1000.9,0.0,0.0
0.0,0.17,3.6,11.8,10.6,0.8,50.2,14.8,16.2,67.0,1000.1,0.0,0.0
0.0,0.16,3.4,9.1,8.4,0.7,51.4,14.6,14.4,92.0,999.5,0.0,0.0
0.0,0.16,4.1,7.25,6.3,0.7,55.1,14.7,17.6,27.0,998.7,0.0,0.0
0.0,0.17,6.949999999999999,9.6,6.1,0.5,54.1,14.8,19.8,4.0,998.1,0.0,0.0
0.01,0.22,15.4,8.75,6.3,0.9,51.1,15.6,18.0,4.0,998.0,0.0,0.0
1.85,0.27,24.95,10.65,6.2,0.8,45.0,16.9,19.4,3.0,998.2,0.0,0.0
7.72,0.21,17.799999999999997,11.9,5.9,0.7,53.3,18.3,26.6,0.0,998.5,0.0,0.0
12.27,0.19,9.65,11.15,5.5,0.8,63.7,19.2,28.1,0.0,998.0,0.0,0.0
15.45,0.18,8.7,15.9,5.8,0.775,69.3,19.6,29.9,0.0,997.9,0.0,0.0
14.44,0.2,11.2,15.4,6.4,0.75,69.5,19.9,31.3,0.0,997.6,0.0,0.0
16.85000000001,0.19,10.9,14.2,6.3,0.725,70.2,20.1,34.6,0.0,997.9,0.0,0.0
14.13999999999,0.19,12.9,10.5,6.3,0.7,68.9,19.8,34.6,3.0,998.5,0.0,0.0
8.76,0.23,13.95,14.1,7.3,0.6,68.1,19.7,27.7,100.0,999.0,0.0,0.0
3.02,0.25,18.85,15.4,7.9,0.5,65.7,19.3,23.8,98.0,999.4,0.0,0.0
0.96,0.25,20.5,12.75,8.3,0.5,62.0,18.8,21.2,100.0,999.7,0.0,0.0
0.23000000001,0.25,16.5,14.7,8.3,0.6,57.5,18.6,20.2,100.0,1000.0,0.0,0.0
0.0,0.28,18.7,14.0,9.4,0.6,52.5,18.4,18.4,100.0,1000.9,0.0,0.0
0.0,0.3,23.15,16.55,11.2,0.5,46.3,18.4,13.0,100.0,1001.9,0.0,0.0
0.0,0.31,21.1,14.5,10.4,1.35,43.4,18.1,10.4,100.0,1002.4,0.0,0.0
0.0,0.29,20.8,14.7,10.8,2.2,38.0,17.4,10.8,97.0,1002.9,0.0,0.0
0.0,0.29,20.85,14.45,10.8,1.9,36.3,16.9,10.1,100.0,1003.3,0.0,0.0
0.0,0.26,19.8,16.9,9.8,1.9,26.3,16.5,11.9,100.0,1003.6,0.0,0.0
0.0,0.23,15.55,15.5,9.3,2.0,26.5,15.9,9.7,100.0,1003.6,0.0,0.0
0.0,0.21,10.05,10.45,7.2,1.7,42.0,15.3,13.0,100.0,1003.8,0.0,0.0
0.0,0.18,5.45,8.95,5.8,1.2,50.7,13.8,18.0,100.0,1004.9,0.0,0.0
0.0,0.18,5.6,6.550000000000001,5.6,1.0,58.7,12.7,12.2,100.0,1005.2,0.0,0.0
0.0,0.19,9.5,4.2,4.3,0.6,78.2,12.6,9.4,100.0,1006.2,0.0,0.0
0.0,0.24,16.7,4.8,4.6,0.5,73.2,12.8,12.6,100.0,1006.3,0.0,0.0
0.0,0.32,28.45,5.4,5.3,0.6,58.9,12.9,14.8,100.0,1006.3,0.0,0.0
0.11999999999,0.39,36.0,5.3,7.1,1.0,41.2,12.4,9.0,100.0,1008.1,0.0,0.0
0.77000000001,0.36,30.15,7.7,7.5,0.7,36.9,12.9,9.4,100.0,1008.7,0.0,0.0
1.53999999999,0.38,24.950000000000003,6.9,8.5,0.7,36.6,12.9,9.7,100.0,1009.3,0.0,0.0
4.13,0.35,20.35,7.550000000000001,8.6,0.8,38.0,13.1,10.4,100.0,1010.1,0.0,0.0
4.78,0.37,20.3,7.35,8.1,1.0,36.4,13.1,16.2,100.0,1010.5,0.0,0.0
1.75,0.34,19.8,6.949999999999999,7.7,1.2,33.9,11.3,14.8,100.0,1011.9,0.0,0.0
1.61,0.35,21.25,12.55,9.1,0.8,46.2,11.7,9.7,94.0,1012.3,0.0,0.0
1.74,0.4,26.35,14.6,9.0,1.1,49.6,12.8,10.1,52.0,1012.7,0.0,0.0
3.52,0.43,29.8,13.4,10.4,1.2,45.4,13.2,9.0,100.0,1013.4,0.0,0.0
2.35,0.35,23.9,13.7,9.0,1.6,56.5,13.1,9.7,100.0,1014.4,0.0,0.0
0.26,0.42,38.45,12.7,9.2,1.4,37.2,12.4,9.0,99.0,1015.5,0.0,0.0
0.0,0.53,48.25,19.0,13.5,1.0,18.4,11.5,6.8,90.0,1016.2,0.0,0.0
0.0,0.47,38.9,20.4,16.5,1.2,25.5,10.8,8.6,3.0,1016.9,0.0,0.0
0.0,0.44,28.75,20.15,15.6,1.4,35.9,9.9,10.4,0.0,1017.6,0.0,0.0
0.0,0.48,29.35,22.25,14.3,2.3,34.3,9.3,10.1,3.0,1018.5,0.0,0.0
0.0,0.4,25.35,17.25,13.4,0.9,33.2,8.6,9.0,0.0,1018.9,0.0,0.0
0.0,0.35,19.3,13.35,12.8,0.7,31.4,8.1,7.6,0.0,1019.1,0.0,0.0
0.0,0.31,16.3,15.35,12.2,0.6,27.5,7.3,7.2,96.0,1020.2,0.0,0.0
0.0,0.31,15.5,13.15,11.9,0.6,26.7,6.9,8.3,7.0,1021.0,0.0,0.0
0.0,0.29,14.75,18.6,12.0,0.6,16.9,6.3,6.5,0.0,1021.7,0.0,0.0
0.0,0.28,14.3,19.4,12.2,0.7,14.8,5.9,5.0,0.0,1021.9,0.0,0.0
0.0,0.28,13.65,19.25,12.3,0.5,25.1,5.7,3.2,0.0,1022.0,0.0,0.0
