Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g
2025-02-07 20:00:00,21.1,28.8,0.53,35.9,38.5,3.7
2025-02-07 21:00:00,20.2,27.8,0.516,30.2,39.5,4.1
2025-02-07 22:00:00,19.9,25.7,0.462,22.8,41.2,4.0
2025-02-07 23:00:00,19.2,24.5,0.434,19.2,43.0,3.7
2025-02-08 00:00:00,18.4,23.2,0.397,23.3,43.5,3.1
2025-02-08 01:00:00,18.6,23.1,0.383,12.6,42.2,3.9
2025-02-08 02:00:00,18.9,22.6,0.352,14.7,42.0,3.4
2025-02-08 03:00:00,18.8,22.5,0.302,16.8,41.0,3.2
2025-02-08 04:00:00,19.0,22.7,0.293,14.8,39.7,3.1
2025-02-08 05:00:00,18.7,22.4,0.278,13.0,34.3,3.0
2025-02-08 06:00:00,19.3,23.9,0.296,15.7,32.5,2.5
2025-02-08 07:00:00,21.5,27.6,0.431,26.7,37.1,2.4
2025-02-08 08:00:00,21.4,28.5,0.438,30.5,39.5,2.7
2025-02-08 09:00:00,20.7,27.2,0.438,29.7,41.3,2.5
2025-02-08 10:00:00,22.0,28.9,0.465,32.1,44.2,2.3
2025-02-08 11:00:00,23.7,32.0,0.524,29.3,47.0,2.2
2025-02-08 12:00:00,25.5,34.7,0.485,31.2,49.8,2.0
2025-02-08 13:00:00,23.5,33.1,0.43,25.1,52.0,1.9
2025-02-08 14:00:00,25.2,34.7,0.511,29.5,52.0,3.2
2025-02-08 15:00:00,26.4,36.1,0.511,35.3,51.0,4.7
2025-02-08 16:00:00,27.5,36.8,0.549,37.1,52.5,6.1
2025-02-08 17:00:00,31.0,40.7,0.538,33.5,44.2,5.0
2025-02-08 18:00:00,37.4,48.4,0.639,34.0,37.6,4.7
2025-02-08 19:00:00,40.6,51.6,0.656,37.6,38.2,5.1
2025-02-08 20:00:00,41.5,51.4,0.715,32.9,40.3,4.2
2025-02-08 21:00:00,35.0,43.5,0.561,30.0,40.4,3.7
